,penguin_ID,Video_ID,Date,Time,Frame_No,Label,File_Name,split
0,GI-LP0237,MOVI0009,2016-10-18,09:49:39,1639,prey,GI-LP0237_10_MOVI0009.avi_image_2016-10-18_09_49_39_1639.png,train
1,GI-LP0237,MOVI0009,2016-10-18,09:49:39,1640,prey,GI-LP0237_10_MOVI0009.avi_image_2016-10-18_09_49_39_1640.png,train
2,GI-LP0237,MOVI0009,2016-10-18,09:49:39,1641,prey,GI-LP0237_10_MOVI0009.avi_image_2016-10-18_09_49_39_1641.png,train
3,GI-LP0237,MOVI0009,2016-10-18,09:49:39,1642,prey,GI-LP0237_10_MOVI0009.avi_image_2016-10-18_09_49_39_1642.png,train
4,GI-LP0237,MOVI0009,2016-10-18,09:49:39,1643,prey,GI-LP0237_10_MOVI0009.avi_image_2016-10-18_09_49_39_1643.png,train
5,GI-LP0237,MOVI0009,2016-10-18,09:49:39,1644,prey,GI-LP0237_10_MOVI0009.avi_image_2016-10-18_09_49_39_1644.png,train
6,GI-LP0237,MOVI0009,2016-10-18,09:49:39,1645,prey,GI-LP0237_10_MOVI0009.avi_image_2016-10-18_09_49_39_1645.png,train
7,GI-LP0237,MOVI0009,2016-10-18,09:49:39,1646,prey,GI-LP0237_10_MOVI0009.avi_image_2016-10-18_09_49_39_1646.png,train
8,GI-LP0237,MOVI0009,2016-10-18,09:49:39,1647,prey,GI-LP0237_10_MOVI0009.avi_image_2016-10-18_09_49_39_1647.png,train
9,GI-LP0237,MOVI0009,2016-10-18,09:49:39,1648,prey,GI-LP0237_10_MOVI0009.avi_image_2016-10-18_09_49_39_1648.png,train
10,GI-LP0237,MOVI0009,2016-10-18,09:49:39,1649,prey,GI-LP0237_10_MOVI0009.avi_image_2016-10-18_09_49_39_1649.png,train
11,GI-LP0237,MOVI0009,2016-10-18,09:49:40,1650,prey,GI-LP0237_10_MOVI0009.avi_image_2016-10-18_09_49_40_1650.png,train
12,GI-LP0237,MOVI0009,2016-10-18,09:49:40,1651,prey,GI-LP0237_10_MOVI0009.avi_image_2016-10-18_09_49_40_1651.png,train
13,GI-LP0237,MOVI0009,2016-10-18,09:49:40,1652,prey,GI-LP0237_10_MOVI0009.avi_image_2016-10-18_09_49_40_1652.png,train
14,GI-LP0237,MOVI0009,2016-10-18,09:49:40,1653,prey,GI-LP0237_10_MOVI0009.avi_image_2016-10-18_09_49_40_1653.png,train
15,GI-LP0237,MOVI0009,2016-10-18,09:49:40,1654,prey,GI-LP0237_10_MOVI0009.avi_image_2016-10-18_09_49_40_1654.png,train
16,GI-LP0237,MOVI0009,2016-10-18,09:49:40,1655,prey,GI-LP0237_10_MOVI0009.avi_image_2016-10-18_09_49_40_1655.png,train
17,GI-LP0237,MOVI0009,2016-10-18,09:49:40,1656,prey,GI-LP0237_10_MOVI0009.avi_image_2016-10-18_09_49_40_1656.png,train
18,GI-LP0237,MOVI0009,2016-10-18,09:49:40,1657,prey,GI-LP0237_10_MOVI0009.avi_image_2016-10-18_09_49_40_1657.png,train
19,GI-LP0237,MOVI0009,2016-10-18,09:49:40,1658,prey,GI-LP0237_10_MOVI0009.avi_image_2016-10-18_09_49_40_1658.png,train
20,GI-LP0237,MOVI0009,2016-10-18,09:49:40,1659,prey,GI-LP0237_10_MOVI0009.avi_image_2016-10-18_09_49_40_1659.png,train
21,GI-LP0237,MOVI0009,2016-10-18,09:49:40,1660,prey,GI-LP0237_10_MOVI0009.avi_image_2016-10-18_09_49_40_1660.png,train
